"资讯ID","资讯标题","分类(以|分割)","关键词(以,分割)"
"47124","小区电梯突然加速撞向30层楼顶，致1人死亡","应急管理",
"47125","每日一安|当高压线遭雷击落地时，该怎么办？",,
"47128","海南省应急管理厅党委委员、总工程师刘红建一行莅临安全研究院调研指导",,
"47130","习近平总书记关于安全生产重要论述网络培训专栏（5）",,
"47131","光明区《安全·听我说》朗读活动：安全这条路只有起点没有终点（第六期）",,
"47132","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列二十四）",,
"47133","门被炸飞、路人被划伤！一临街餐饮店爆燃……",,
"47134","每日一安|酒精的使用和存放注意事项",,
"47138","@坪山人，购买这些药物需实名登记！",,
"47140","深圳市盐田区关于开展全区全员第三轮核酸检测工作的通告",,
"47141","这条新规很重要！关键时刻能救孩子的性命！","法律法规|交通安全",
"47142","区应急管理局开展应急管理、安全生产和防灾减灾检查(5.30)",,
"47145","多看门缝一眼，小学生救下一条命！","居家安全",
"47152","应急科普 |雨天安全指南",,
"47153","第2期“福田区安全地图”：39个室外应急避难场所，请收好！",,
"47154","省工业和信息化厅副厅长王月琴带队调研协会名誉会长单位欣旺达电子股份有限公司",,
"47155","紧急通知！广东省三防办启动防汛Ⅳ级应急响应",,"气象"
"47160","上新 | 全国在行动！“安全生产月”展示交流正式启动",,
"47161","应急科普 |学习汛期安全生产知识",,
"47162","多地发生多起高处作业突遇大风天气事故！《湖哥说安全》带你正确防范高处作业事故发生",,
"47166","每日一安|燃气安全",,
"47168","安全“童”行！快来get你的六一儿童节礼包",,
"47170","惊险！工人高空作业突遇暴雨","安全生产",
"47171","光明区《安全·听我说》朗读活动：用执着的双臂守住安全（第七期）",,
"47172","一图看懂 | 2021年深圳市“安全生产月”这样做~","安全生产",
"47173","深圳暴雨、雷电黄色预警正在生效中！如何做好暴雨防范措施？",,
"47174","30年无事故、被称为“安全”代名词！这家公司的“十大安全原则”值得学习！",,
"47175","@家长们，儿童出行这些细节可要注意啦！","公共安全",
"47176","习近平总书记关于安全生产重要论述网络培训专栏（6）",,
"47177","违规动火，行政拘留处罚25人！",,
"47185","上新 | 全国在行动！“安全生产月”展示交流正式启动",,
"47186","上新 | 全国在行动！“安全生产月”展示交流正式启动",,
"47188","@家长们，儿童出行这些细节可要注意啦！","公共安全",
"47189","@家长们，儿童出行这些细节可要注意啦！","公共安全",
"47192","楼梯间充电酿火灾，致2人死亡，车主被判刑3年8个月、赔款133.5万",,
"47193","6月，为您送上平安的祝福，愿安全与您长相伴！","安全生产",
"47194","落实安全责任 推动安全发展——写在第20个全国“安全生产月”启幕之际",,
"47195","“安全生产月”这些知识点，你知道吗？",,
"47196","林克庆常务副省长视频调度“龙舟水”防御工作，要求落实防汛责任确保人民群众生命财产安全",,
"47198","40头牛当场死亡！牢记这些，防“遭雷劈”","公共安全",
"47200","关于转发《开展“测测你的安全力”全国安全知识网络竞赛的通知》的通知",,
"47201","6月1日广东应急播报",,
"47202","6·1儿童节，愿你历尽千帆，童心依旧！疫情期间，“罩”顾好每一位大，小朋友",,
"47203","每日一学，习总书记关于安全生产的重要论述",,
"47204","6月，为您送上平安的祝福，愿安全与您长相伴！",,
"47205","暴雨来了不要慌，科学应对保平安",,
"47206","雷雨大风频发期，请谨记这些防御知识！",,
"47207","汛期安全生产，这些知识要掌握！",,
"47208","@安全人，这项津贴6月起翻倍！每月300元，连发5个月！",,
"47210","六一儿童节 | 消防礼物已备好，小朋友注意查收","消防安全",
"47211","汛期安全生产，这些知识要掌握！","水上安全",
"47212","汛期安全生产，这些知识要掌握！","水上安全",
"47215","我区召开2021年“安全生产月”活动启动会议",,"安全生产月"
"47217","2021年全国“安全生产月”活动已启动！光明区活动方案全在这里~",,
"47218","抗击疫情，人人有责",,
"47220","南山区2021年“安全生产月”点亮地标（华润大厦）灯光宣传视频",,
"47221","​应急科普 | 一图了解雷暴天气注意事项",,
"47222","应急科普 | 危化品爆炸现场如何逃生与自救",,
"47223","每日一安|当发生燃气泄漏时的一些注意事项",,
"47225","“深圳苗”来啦！一起当个“苗”星人",,
"47227","安全生产，不容忽视",,
"47229","森林草原防灭火“五抓五强化”",,
"47231","划重点！《民法典》中的安全与应急——高度危险责任",,
"47233","高考“紫腚行”攻略",,
"47234","突发！3人身亡！又是有限空间！近期已有22人因它死伤！请收藏这份官方救援指南!",,
"47235","通报：配电箱未张贴“当心触电”安全警示标志，被罚7万",,
"47236","关于新冠疫苗接种不良反应，12个权威解答","应急管理",
"47237","已致19人伤亡！都是因为它！",,
"47238","“辣笔小球”被判八个月！",,
"47239","科普中国“应急科普”号上线了！","应急管理",
"47240","光明区《安全·听我说》朗读活动：只有在安全的基础上才能谈教育（第八期）",,
"47241","大鹏新区2021年全国“安全生产月”活动“线上”启动",,
"47242","两地，升为高风险！","应急管理",
"47243","@所有人，快来“测测你的安全力”，还有奖品拿~","应急管理",
"47244","2个月婴儿掉进地铁轨道，他一跃而下！","应急救援",
"47245","科普|一图了解安全生产责任保险",,
"47249","习近平总书记关于安全生产重要论述网络培训专栏（7）",,
"47250","深圳通报2021年度第三批安全生产领域行政处罚典型案件",,
"47251","每日一学，习总书记关于安全生产的重要论述",,
"47259","烧了2800平方米！只因他这个小操作......","生活用火安全|消防安全",
"47260","图说：一图了解雷暴天气注意事项","防灾减灾",
"47261","男孩11次伸手阻挡电梯关门，最后一次悲剧了","应急管理",
"47262","《深圳市工贸企业主要负责人履行安全生产职责应知应会基础知识》","标准文件",
"47263","应急科普 |高处作业安全指南",,
"47267","烈日炎炎，深圳一特斯拉车主被困车内15分钟！险窒息……",,
"47268","梅沙街道召开三防暨地质灾害防治工作会议",,
"47269","直播回放 | 建筑结构的可靠性与评定技术","应急管理",
"47270","重要通知丨特别防护期安全生产“十大领域”将严查！赶紧来了解",,
"47271","直播回放 | 不同类型预应力锚杆（索）的承载力计算、工作性能与工程效果","应急管理",
"47272","直播回放 | 安全教育第一课","校园安全",
"47274","直播回放 | 全国防灾减灾日","防灾减灾",
"47275","直播回放 | 罗湖区2021年应急管理与安全生产培训","安全生产|防灾减灾",
"47276","直播回放 | 铁路工务设备检测监测评估实践与探索","应急管理",
"47277","直播回放 | 城市与基础设施的韧性 —— 内涵、分析、评价、提升","应急管理",
"47278","直播回放 | 隧道洞室锚喷支护理论与实践","应急管理",
"47279","音频回放 | 《安全你我他》走近“学习强安”","应急管理",
"47280","安全生产月展示交流活动手机端操作教程","防灾减灾|安全生产",
"47281","安全生产月展示交流活动PC端操作教程","安全生产",
"47282","雄安新区组织开展汛期施工安全、防汛防涝和工地气象灾害防御专题培训","防灾减灾|安全生产",
"47283","雄安新区应急管理局赴西柏坡红色教育基地开展实地党史学习教育",,
"47284","雄安新区防汛抗旱指挥部办公室2021年专题调度会召开","防灾减灾",
"47286","上新 | 全国在行动！“安全生产月”展示交流正式启动",,
"47287","上新 | 全国在行动！“安全生产月”展示交流正式启动",,
"47288","上新 | 全国在行动！“安全生产月”展示交流正式启动",,
"47289","每日一安|如何检查燃气泄漏",,
"47291","光明区《安全·听我说》朗读活动：安全是一个平凡但要细心对待的小事（第九期）",,
"47292","既要防疫又要防骗，居民：“我太难了……”",,
"47294","遇恐不慌，应对有方",,
"47296","隧道内发生火灾，如何快速逃生？",,
"47298","@家长们，儿童出行这些细节可要注意啦！",,
"47299","注意！违规动火作业隐患大且违法","安全生产",
"47300","一图看懂 | 2021年深圳市“安全生产月”这样做~",,
"47301","6月3日广东应急播报",,
"47302","儿童“安全”不松懈！请签收这份防溺水指南",,
"47303","重罚！电焊工无证上岗、证件过期，企业被罚4.8万，负责人被强制刑拘",,
"47304","1死16伤！巨型龙卷风突袭黑龙江尚志，当地深夜通报","防灾减灾",
"47305","紧急提醒！收到这样的“疫苗信息”，立即删除+拉黑！",,
"47306","应急科普┃高楼火灾自救逃生指南",,
"47307","关于印发《深圳市工贸企业主要负责人履行安全生产职责应知应会基础知识》的通知",,
"47308","习近平总书记关于安全生产重要论述网络培训专栏（8）",,
"47309","“测测你的安全力”全国安全知识网络竞赛开始啦",,
"47310","新一轮“龙舟水”要来！这雨持续到……","防灾减灾",
"47311","应急科普┃施工现场安全用电指南",,
"47312","1死16伤！巨型龙卷风突袭哈尔滨！",,
"47313","热一下油，烧了2800平方米？","消防安全",
"47314","男孩11次伸手阻挡电梯关门，最后一次悲剧了……",,
"47315","山东通报2起涉嫌危险作业罪典型案例",,
"47316","烧了2800平方米！只因他这个小操作......",,
"47317","第20个全国“安全生产月”启动",,
"47318","aad",,
"47320","机关干部安全警示教育片",,
"47325","男孩11次伸手阻挡电梯关门，最后一次悲剧了……",,
"47326","最新！企业安全生产标准化建设定级办法征求意见","安全生产",
"47330","高处作业危险，事故如何避免","特种作业",
"47331","钓友，野钓危险！","应急管理",
"47332","每日一学，习总书记关于安全生产的重要论述",,
"47333","战疫者| 深圳防疫一线背后，忙碌的95后应急人员",,
"47335","高考加油！安全勿忘！",,
"47339","应急科普丨遇到城市内涝怎么办？",,
"47342","全国“测测你的安全力”竞赛开赛啦！罗湖人快来答题赢大奖",,
"47399","注意！违规动火作业隐患大且违法","安全生产",
"47400","1死16伤！巨型龙卷风突袭黑龙江尚志，当地深夜通报","防灾减灾",
"47401","热一下油，烧了2800平方米？","消防安全",
"47402","最新！企业安全生产标准化建设定级办法征求意见","安全生产",
"47403","高处作业危险，事故如何避免","特种作业",
"47404","钓友，野钓危险！","应急管理",
"47405","1死16伤！巨型龙卷风突袭黑龙江尚志，当地深夜通报","防灾减灾",
"47406","热一下油，烧了2800平方米？","消防安全",
"47407","最新！企业安全生产标准化建设定级办法征求意见","安全生产",
"47408","高处作业危险，事故如何避免","特种作业",
"47409","钓友，野钓危险！","应急管理",
"47412","每日一安|汛期注意事项",,
"47414","消防安全提醒",,
"47416","降温频频，教你如何安全取暖！",,
"47418","粤康码变“黄”了？别慌！这样做可复“绿”！",,
"47420","夏季电器安全使用手册",,
"47421","遇到城市内涝，该如何避险自救？",,
"47423","危险化学品安全知识，你了解多少？",,
"47424","龙卷风究竟怎么样？",,
"47425","广东省消防工作若干规定——消防安全责任",,
"47426","应对强降雨引发的次生灾害，这些知识要掌握！",,
"47427","小心高阶骗子的骗术",,
"47428","遭遇踩踏时要紧急避险！",,
"47429","一图读懂防溺水知识",,
"47430","看护孩童，留心家中的危险地带！",,
"47431","习近平总书记关于安全生产重要论述网络培训专栏（9）",,
"47432","企业安全生产主体责任缺失警示录",,
"47433","安全生产|皮带机伤害事故警示案例",,
"47434","高处作业危险，事故如何避免？",,
"47435","光明区《安全·听我说》朗读活动：把安全放心中人人才会都安全（第十期）",,
"47436","热一下油，烧了2800平方米？！",,
"47437","不幸坠亡！一高楼住宅突发火灾！23岁女子爬窗外避险...","应急管理|消防安全",
"47438","直播回放 | 安全韧性城市建设院士论坛","安全生产|防灾减灾|公共安全",
"47439","新一轮“龙舟水”要来！这雨持续到……",,
"47440","近期有限空间事故频发，这些知识要掌握！","应急管理|安全生产",
"47441","2021八大特殊作业安全管理",,
"47442","雄安新区规划建设领域2021年“质量安全生产月”活动启动","安全生产",
"47443","6月4日广东应急播报",,
"47444","我省各地市积极开展多形式、多样化“安全生产月”宣传活动",,
"47445","安全生产月 | 形式多样促安全 新区参建企业纷纷启动安全生产月活动","安全生产",
"47446","应急科普 | 图说：遭遇城市内涝，如何避险？",,
"47447","近期有限空间事故频发，这些知识要掌握！",,
"47448","应急科普 | 各类爆炸事故的逃生避险守则",,
"47449","常见风险和管控常识之危险化学品","安全生产|应急管理",
"47450","应急科普 | 图说：遭遇城市内涝，如何避险？","防灾减灾|应急管理",
"47451","一图看懂 | 2021年深圳市“安全生产月”这样做~",,
"47452","【深圳气象】【深圳市暴雨黄色预警】",,
"47453","男孩11次伸手阻挡电梯关门，最后一次悲剧了……","应急管理|居家安全",
"47454","每日一学，习总书记关于安全生产的重要论述",,
"47455","一高楼住宅突发火灾，女子爬窗外避险不幸坠亡！",,
"47457","痛心！兰新线发生列车与施工人员相撞事故","应急管理|交通安全",
"47458","【安全日历】爆炸发生时，为什么要“张嘴”？",,
"47459","新一轮“龙舟水”要来！这雨持续到……","防灾减灾",
"47460","应急科普 | 图解：不同的台风预警信号代表什么含义？",,
"47461","光明街道贯彻学习习近平总书记关于安全生产重要论述暨2021年企业安全生产主体责任、消防安全培训",,
"47464","光明街道安委办组织企业开展安全 生产领域先进技术和工具现场参观学习会",,
"47469","我省各地市积极开展多形式、多样化“安全生产月”宣传活动","安全生产",
"47478","新区应急管理局组织召开应急管理系统安全生产执法工作会议",,
"47479","观湖深入推进工业园区规范化管理专项工作",,
"47481","奶茶、可乐也可能是毒品？《湖哥说安全》教你这样避免“中招”~",,
"47483","雷雨大风频发期，请谨记这些防御知识！",,
"47484","建筑施工安全注意事项",,
"47485","应急科普 | 有限空间作业安全风险防范指南",,
"47486","安全都知道丨有限空间也可以很安全（第1期）",,
"47488","沙井街道开展交通文明劝导行动",,
"47490","松岗街道持续开展企业机械伤害专项整治活动",,
"47492","福永街道召开三防工作会议",,
"47494","罗湖区消防救援大队开展密室逃脱类场所消防安全检查",,
"47496","《生命重于泰山》电视专题片（2021年5月）",,
"47499","光明区《安全·听我说》朗读活动：安全是生产的前提（第十一期）",,
"47500","光明区《安全·听我说》朗读活动：安全的敌人是麻痹和侥幸（第十二期）",,
"47501","门窗炸飞，女子烧伤！杀虫剂威力这么大？！","居家安全",
"47504","在高速上疯狂超速，还录视频炫耀！结果......","交通安全",
"47509","门窗炸飞，女子烧伤！杀虫剂威力这么大？！","居家安全",
"47510","在高速上疯狂超速，还录视频炫耀！结果......","交通安全",
"47513","每日一安|芒种",,
"47515","每日一安|当暴雨来临时，行人注意事项",,
"47517","王传福：以如履薄冰的心态紧抓安全生产，强化安全运营",,
"47519","“油箱还剩多少油量呢？”他灵机一动，打火机一点...","应急管理",
"47523","安全生产月丨有奖竞答！快来测测你的“安全力”！",,
"47524","正式启动！龙岗区今年安全生产月这么干！",,
"47526","地方应急 | 安新县部署建设施工项目安全生产和安全度汛工作","安全生产",
"47527","应急科普 | 图解：路途中遭遇山洪如何应对？",,
"47528","手机充电器深夜爆炸！男子眼睛被炸伤！有这个习惯的要注意了...",,
"47529","防溺水，请收好这份安全知识宝典！",,
"47530","应急科普 | 图说：下雨天如何预防火灾？",,
"47531","生命重于泰山┃学习习近平总书记关于安全生产重要论述",,
"47532","我为群众办实事 | 市审计局与我院联合开展专题党建活动",,
"47533","安全生产月 | 雄县建筑工地安全生产月活动精彩纷呈","安全生产",
"47535","6月7日广东应急播报","应急管理",
"47536","重磅 | 应急管理部宣教中心与我院达成战略合作",,
"47538","光明区《安全·听我说》朗读活动：让自己多一份安全，让家人少一份后顾之忧（第十三期）",,
"47539","图说 | 下雨天如何预防火灾？","消防安全",
"47540","广东各地市“安全生产月”活动进行时：营造“人人讲安全、事事重安全”的浓厚氛围","安全生产",
"47541","深圳龙岗新增1例新冠肺炎确诊病例","龙岗区",
"47542","7辆电动车着火封住楼道口，多人被困……","电动车电池安全",
"47543","福田区应急管理局副局长钟俊彬带队开展“防汛防风督导检查”工作",,
"47544","无语至极！天上掉下一坨粪便！","公共安全",
"47545","安全生产丨工厂消防安全知识指南",,
"47546","习近平总书记关于安全生产重要论述网络培训专栏（10）",,
"47547","福田区委常委、区委统战部部长刘俊琳率队到皇岗口岸接驳点调研工作",,
"47548","安全敢争先 | “安全生产月”展示交流第一周赛程报告","应急管理",
"47549","安全生产，不容忽视",,
"47551","汲取事故教训！历史上6月发生的危险化学品事故",,
"47552","应急科普 |安全生产“十不”要牢记",,
"47553","应急科普 | 图说：山洪到来如何自救？",,
"47555","应急科普 | 图说：下雨天如何预防火灾？",,
"47558","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列二十五）",,
"47560","安全都知道丨安全标志也有“先来后到”的顺序哦！（第2期）",,
"47566","每日一安|高考加油",,
"47570","打疫苗送女朋友？叮，快醒醒！",,
"47573","防汛小知识“拍了拍”你，并喊你来参加有奖竞答！",,
"47575","直播回放 | 建筑结构的可靠性与评定技术","应急管理",
"47576","直播回放 | 不同类型预应力锚杆（索）的承载力计算、工作性能与工程效果","应急管理",
"47577","直播回放 | 安全教育第一课","校园安全",
"47578","直播回放 | 全国防灾减灾日","防灾减灾",
"47579","直播回放 | 罗湖区2021年应急管理与安全生产培训","安全生产|防灾减灾",
"47580","直播回放 | 铁路工务设备检测监测评估实践与探索","应急管理",
"47581","直播回放 | 城市与基础设施的韧性 —— 内涵、分析、评价、提升","应急管理",
"47582","直播回放 | 隧道洞室锚喷支护理论与实践","应急管理",
"47583","音频回放 | 《安全你我他》走近“学习强安”","应急管理",
"47584","直播回放 | 安全韧性城市建设院士论坛","安全生产|防灾减灾|公共安全",
"47586","43死25伤！一周事故及安全警示（2021年6月7日）",,
"47587","对照自查！用电安全基本知识与检查要点 ，附速查手册​",,
"47590","不系帽带，安全帽等于没戴！按隐患处理最高可处10万元以上罚款！",,
"47591","安全月安全生产知识及安全意识提升培训",,
"47592","【天气提示】",,
"47593","紧急通报：企业必须高度重视安全生产，出事故先抓直线管理者！",,
"47594","直击应急援线：“疫”线上的“五朵金花”！",,
"47596","新时期思想宣传工作的指导方针是什么？罗湖应急《党史小课堂》第15课为您解答~",,
"47598","6起有限空间事故19人死亡！《湖哥说安全》告诉你有限空间作业需注意啥~",,
"47600","广东省应急管理厅启动 “一盘棋”响应机制：要求深刻汲取事故教训抓好非煤矿山安全工作","安全生产",
"47601","每日一学，习总书记关于安全生产的重要论述",,
"47602","每日一学，习总书记关于安全生产的重要论述",,
"47603","河北海域举行“陆海空天”一体化船舶溢油应急演习","安全生产",
"47606","每日一安|高考天气",,
"47608","外卖送汽油上门，价格还很便宜？你敢加？",,
"47609","警惕！夏季有限空间作业事故频发，已夺走多人性命！",,
"47610","应急科普 | 图说：遇到泥石流，如何自救？",,
"47612","应急科普 | 图说：有限空间作业风险如何防范？",,
"47614","三类人群易受到山洪灾害，山洪到来如何自救？",,
"47615","警惕！夏季有限空间作业事故频发，已夺走多人性命！",,
"47617","三类人群易受到山洪灾害，山洪到来如何自救？",,
"47619","习近平总书记关于安全生产重要论述网络培训专栏（11）",,
"47620","安全月最重要一课：安全意识提升，全员必看！看完可避免99%的事故",,
"47621","7辆电动车着火封住楼道口，多人被困……",,
"47622","6月8日广东应急播报","安全生产",
"47623","123件物品被从15楼接连抛下！高空抛物太可怕！","公共安全",
"47624","省应急管理厅召开高考期间安全风险防控工作研判会","应急管理",
"47625","省应急管理厅召开危化品运输专题会议","安全生产",
"47626","7辆电动车着火封住楼道口，多人被困……",,
"47627","哪三类人群易受到山洪灾害？转移不及时，如何自救？",,
"47628","近年来重特大安全事故警示录",,
"47629","无语至极！天上掉下一坨粪便！",,
"47630","光明区《安全·听我说》朗读活动：安全教育为孩子们健康成长保驾护航（第十四期）",,
"47631","“油箱还剩多少油量呢？”他灵机一动，打火机一点...",,
"47632","广东省应急管理厅成功举办无人机培训班","应急管理",
"47633","在高速上疯狂超速，还录视频炫耀！结果......",,
"47634","门窗炸飞，女子烧伤！杀虫剂的威力这么大？！",,
"47636","手机充电器深夜爆炸，男子眼睛被炸伤！有这个习惯的要注意了...",,
"47637","光明区《安全·听我说》朗读活动：“知危险”、“避危险”，时刻遵守交通法规（第十五期）",,
"47638","警惕！夏季有限空间作业事故频发，已夺走多人性命！","高危行业",
"47639","学习 | 常见风险和管控常识之危险化学品","工贸安全",
"47640","小车快车道上急速刹车！十多辆车被逼停！","交通安全",
"47641","西乡街道组织召开高风险企业落实事故灾难风险管控培训会",,
"47643","直播进行时 | 海事最新新冠疫情防控政策解析","应急管理",
"47644","【案例通报】深圳市冠荣华投资有限公司4.13安全设备使用维护违法行为案",,
"47646","【案例通报】深圳市科精诚印刷机械制造有限公司“4.7”安全生产警示标志类违法行为案",,
"47648","【案例通报】深圳市盈硕电路有限公司4.1安全生产警示标志类违法行为案",,
"47650","【案例分析】石岩街道某电子科技有限公司安全生产类违法行为案",,
"47654","安全生产|夏季有限空间作业事故救援指南",,
"47658","应急科普 | 了解危险化学品安全知识",,
"47659","@深圳人，这块橘黄色区域，劝你不要踩！",,
"47660","安全创意公益片《安全三宝》（来源：国网福建省电力有限公司）",,
"47662","2021年安全生产月主题海报",,
"47664","直播进行时 | 海事最新新冠疫情防控政策解析","应急管理",
"47665","直播进行时 | 海事最新新冠疫情防控政策解析","应急管理",
"47666","【案例分析】燕罗街道某油品制作有限公司危化类违法行为案解读",,
"47668","快来“测测你的安全力”——2021年全国安全知识网络竞赛火热进行中~",,
"47671","应急科普 | 图说：遇到泥石流，如何自救？","防灾减灾",
"47672","测试2",,
"47674","应急科普 | 图说：有限空间作业风险如何防范？","高危行业",
"47675","黄明在应急管理部党委会部务会上强调：深入学习贯彻习近平总书记重要讲话精神 依靠科技创新更加有力有效防控重大安全风险","应急管理",
"47676","应急课堂|尊重生命，“我不想再瞒报”",,
"47679","安全都知道丨仓库安全离不开堆垛“五距”要求（第3期）",,
"47681","光明区《安全·听我说》朗读活动：学居家安全，让孩子平安快乐度暑假（第十六期）",,
"47682","7辆电动车着火封住楼道口，多人被困……",,
"47683","每日一安|高考天气",,
"47687","车辆起火男子看热闹，烧的竟是自家车",,
"47688","列车撞铁路施工人员致9死，9名死者均为劳务外包人员！  应急科普君  深圳应急科普  4天前",,
"47689","重要提醒！学生溺水事故高发，再忙也要教会孩子这些！",,
"47690","婴儿掉进地铁轨道，多亏了他！",,
"47691","安全生产月|重磅！“百人百语话坪安”安全公益代言活动来啦",,
"47693","惊险！2岁女童因“遛娃神器”被挂电梯门上","应急管理",
"47694","重要提醒！学生溺水事故高发，再忙也要教会孩子这些！",,
"47695","可怕！半夜爆炸，千万别这样了...","电气安全",
"47696","汛期泥石流多发，怎样避险要知道",,
"47697","汛期泥石流多发，怎样避险要知道","防灾减灾",
"47698","直播进行时 | 海事最新新冠疫情防控政策解析","应急管理",
"47699","婴儿掉进地铁轨道，多亏了他！","交通安全",
"47701","生产安全事故典型案例盘点(2020)",,
"47705","他们高空抛物，最后都获刑了~","应急管理",
"47706","他们高空抛物，最后都获刑了！",,
"47708","习近平总书记关于安全生产重要论述网络培训专栏（12）",,
"47709","投票入口丨光明区《安全·听我说》朗读活动投票正式开始啦！",,
"47710","每日一学，习总书记关于安全生产的重要论述",,
"47711","家中起火妈妈慌了！10岁儿子的操作令人没想到……","消防安全",
"47717","应急管理部发布2021年5月全国自然灾害情况","防灾减灾",
"47718","坚守安全生产红线 看四川的“硬核”操作！","安全生产",
"47719","应急管理部发布2021年5月全国自然灾害情况",,
"47721","河北省深入开展防汛风险隐患排查整治","防灾减灾",
"47722","连发两起火灾，6人被困！事发时，灭火器就在旁边……",,
"47723","江门开平市金鸡镇发生3.0级地震，无人员伤亡","防灾减灾",
"47724","省应急管理厅转发国家矿山安全监察局通知要求 严格落实矿山防汛度汛各项安全措施","防灾减灾",
"47725","袁桐利在全省化工行业安全生产警示教育电视电话会议上要求 深刻汲取教训 深化专项整治 推动全省安全生产形势持续稳定向好","安全生产",
"47727","家里垃圾堆成山？危险易燃！","消防安全",
"47728","北京市启动大型油气储存基地安全风险评估工作","安全生产",
"47730","端午假期能出去玩吗？广东官方发文",,
"47731","看完这些安全标语，你还敢违章吗？",,
"47733","重要提醒！学生溺水事故高发，再忙也要教会孩子这些！",,
"47735","备战汛期 四川各地吹响防汛演练“集结号”","防灾减灾",
"47736","安全生产 | 化工企业安全生产必须掌握这些知识",,
"47737","应急科普 | 遇到不同火源的应对方法",,
"47738","安全都知道丨机械安全“六有六必”要做好!（第4期）",,
"47743","事故警示丨机械无情，生命可贵，请按规操作！",,
"47744","什么是红船精神？罗湖应急《党史小课堂》第16课为您答疑解惑~",,
"47747","家中起火妈妈慌了，10岁娃的这波操作……",,
"47748","【重磅】“安全生产月”主题公益广告",,
"47749","敲警钟！1死17伤，都发生在这里！",,
"47750","5月份，全国自然灾害有这些特点",,
"47752","关于6月7日机械伤害事故的通报......“四不伤害”24条请牢记",,
"47753","宝安区组织参加市应急管理局工贸行业现场安全管理工作视频会议",,
"47755","重要提醒！学生溺水事故高发，再忙也要教会孩子这些！","公共安全",
"47756","看完这些安全标语，你还敢违章吗？","安全生产",
"47757","应急科普 | 安全生产作业安全指南",,
"47758","小型普通客车发生侧翻，致4死1伤","交通安全",
"47759","净水化工厂爆炸起火，致18人遇难！","安全生产",
"47760","学习 | 常见风险和管控常识之爆炸基础知识","安全生产",
"47765","感谢！交警为高考生保驾护航","交通安全",
"47766","应急科普 | 汛期雷电来袭，如何做好防范措施？",,
"47767","暴雨致医院内涝 “火焰蓝”背出“白衣天使”","应急救援",
"47768","安全生产科普|化工企业消防安全知识学习",,
"47770","世界无童工日 | 立即行动：终止童工",,
"47771","老人被困泥潭3天 消防员徒手挖泥救人","应急救援",
"47772","每日一安|遇到雷雨天气时的注意事项",,
"47775","百人百语话坪安|第二期如约而至，一睹为快！",,
"47779","学习 | 常见风险和管控常识之爆炸基础知识",,
"47780","净水化工厂爆炸起火，致18人遇难！",,
"47781","河南省委省政府出台意见  加强基层应急管理体系和能力建设","应急管理",
"47782","学习 | 常见风险和管控常识之危险化学品",,
"47783","安全生产月 河南各地的精彩活动都在这里！","安全生产",
"47784","小型普通客车发生侧翻，致4死1伤",,
"47785","汛期来了 四川将开展煤矿安全生产专项督查","安全生产",
"47786","学习 | 常见风险和管控常识之粉尘爆炸",,
"47787","端午节 | 端午为什么要说“安康”",,
"47788","​国家减灾委员会办公室 应急管理部发布6月份全国自然灾害风险形势","防灾减灾",
"47789","习近平总书记关于安全生产重要论述网络培训专栏（13）",,
"47790","河北省邢台市举行2021年超标准洪水综合实战应急演练","应急管理",
"47791","江苏省常州市：“三措并举” 持续加强非煤矿山安全生产管理工作","安全生产",
"47792","福建省举办县乡干部防汛防台风和安全生产应急管理工作视频培训","安全生产|防灾减灾",
"47793","夏季作业，这7项防护做不好，当心死神找上门！",,
"47794","应急管理部办公厅关于对危险化学品领域安全生产新情况新问题开展专项排查整治的通知","安全生产",
"47795","转发学习 |《深圳市工贸企业主要负责人履行安全生产职责应知应会基础知识》",,
"47796","周末就是端午假期丨要周知，坐火车时这些物品限量携带！",,
"47798","长沙一仓库爆炸起火，现场升起蘑菇云！",,
"47799","生活科普丨蚊子咬的包为什么有大有小？",,
"47801","每日一学，习总书记关于安全生产的重要论述",,
"47804","安全都知道丨不做低头族，青春我做主（第5期）",,
"47807","快讯 | 《全国人民代表大会常务委员会关于修改〈中华人民共和国安全生产法〉的决定》通过","法律法规",
"47808","第四十八期：客运违规运营隐患多，源头整治力度加大","交通安全",
"47811","青岛一轿车在高速上自燃爆炸！这件事必须注意…",,
"47812","深圳一汽车当街自燃！火势瞬间淹没车头！留意这些征兆能救命",,
"47813","自己家里发生火灾，违法吗？",,
"47814","6月11日广东应急播报",,
"47815","应急科普丨夏季安全生产防范指南",,
"47817","应急科普丨夏季安全生产防范指南",,
"47818","全力开展道路交通安全系统整治，清远经验值得借鉴！",,
"47819","你知道广东辖区的十大危险海域吗？",,
"47820","应急科普丨夏季安全生产防范指南请收好",,
"47821","学习 | 常见风险和管控常识之有限空间作业",,
"47822","大爷硬核灭火冲上热搜！本人回应来了","消防安全",
"47823","学习 | 常见风险和管控常识之有限空间作业","特种作业",
"47824","安全锦鲤丨向往的生活之交通安全从“头”做起",,
"47826","关于对危险化学品领域安全生产新情况新问题开展专项排查整治的通知","高危行业",
"47827","6月份全国会有哪些自然灾害风险？","防灾减灾",
"47830","习近平总书记关于安全生产重要论述网络培训专栏（14）",,
"47831","直播进行时 | 国新办举行贯彻落实《安全生产法》推动安全发展发布会","应急管理",
